address,rank,overall_pnl_30d,overall_trades_30d,outcome_fills,outcome_buys,outcome_sells,settled_pnl,gross_win,gross_loss,win_rate_settled,max_single_loss,distinct_outcomes,perp_fills,outcome_fraction,quality_score
0x61b35e240c404399b8197468aeaecac51d4f86fe,32,21125.97537052,680,127,121,6,1206.78,5205.66,-3998.88,0.667,-3109.76,6,1873,0.064,0.0
0xaa23550773de942c546b3f29e7df60d8a9d85820,34,20618.0038701,34,0,0,0,0,0,0,0.0,0.0,0,2000,0.0,0.0
0x64702807a1f0f9888ea22b858099d7f481227b55,39,16552.34261868,171,0,0,0,0,0,0,0.0,0.0,0,2000,0.0,0.0
0xa51b01df1b817440932dd463fd4abaaf9beb90e3,41,16057.89900504,364,0,0,0,0,0,0,0.0,0.0,0,736,0.0,0.0
0xf770f371cc66499a89ae56aa84f9506e083f99ea,43,15426.06011069,286,39,39,0,0,0,0,0.0,0.0,1,1961,0.019,0.0
0xf4b03f6bf1c7d529194410dc3d0775a1d7bff09b,44,14773.23130002,33,0,0,0,0,0,0,0.0,0.0,0,2000,0.0,0.0
0x543d59da294b39980f3a7ae8bf52fccb046a67bc,49,13098.72351,126,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0
0xa1d08b307a51a8caf302791445640bde80482bbf,50,13072.34543,8,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0
0xd8074220bf74b705ac552d189e49e8df7f227eb2,51,12969.29091477,772,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0
0xb3e475368ed0fa0ad23c04de0423d48a0758806f,52,12542.73728778,231,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0
0xfeb63b9e4a871b644816d94a1d19517a87ce5fa0,54,12119.24648118,246,0,0,0,0,0,0,0.0,0.0,0,2000,0.0,0.0
0x78167a1f0cc35e9a7eeffda5751c4e6f3616c499,58,10929.82767,18,18,17,1,10929.83,10929.83,0,1.0,10929.83,1,1982,0.009,0.0
0x11d67fa925877813b744abc0917900c2b1d6eb81,60,10333.40000984,128,0,0,0,0,0,0,0.0,0.0,0,6,0.0,0.0
0xf212ba250bd0939d60532141da56329f8524ba67,61,10188.98443004,10,8,3,5,10235.7,10235.7,0,1.0,101.82,1,1992,0.004,0.0
0x0aeb716867494fcb430ae9c7f04c3e232d98140b,63,9418.48368611,666,71,66,5,2200.4,2200.4,0,1.0,208.32,5,17,0.807,0.0
0x556d539002b19c923a08f664564f2ec6aba5681e,66,8862.73925004,39,37,28,9,8877.23,9101.68,-224.45,0.444,-221.87,7,222,0.143,0.0
0x28c01b64f2492d82fd58feecf8c71603c769bb4a,72,7763.1746,81,81,75,6,7763.17,7763.17,0,1.0,59.0,6,1217,0.062,0.0
0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,73,7743.18517605,656,0,0,0,0,0,0,0.0,0.0,0,2000,0.0,0.0
0x535e34b5ada64997afc88444271ae9b3f82b3867,75,7407.41516141,196,0,0,0,0,0,0,0.0,0.0,0,2000,0.0,0.0
0x9a1124c66975bbf97ac359ab7bfb743ad73fe838,76,7369.89894,12,12,11,1,7369.9,7369.9,0,1.0,7369.9,1,3,0.8,0.0
0xcd353c98b502b6ad583af25e781f673af28acc23,77,7218.90773529,184,53,48,5,-311.19,538.95,-850.14,0.2,-398.94,5,143,0.27,0.0
0x6abc111bd22bb38e649f81be60dfbeb35648aac6,79,7105.40562008,527,11,2,9,231.52,231.52,0,1.0,0.05,2,1989,0.005,0.0
0xd053e13157b4f76827fb919c3c8a02eed734b0b3,38,17986.98751591,18325,2000,1905,95,-736.7,5845.64,-6582.34,0.158,-2798.68,16,0,1.0,-484.67
0x11e1fdcfb680ed1e71ad336adac324d37202263c,31,22367.23260077,21165,108,84,24,-838.4,278.94,-1117.34,0.75,-870.6,7,497,0.177,-524.0
0x7258d00a24d6829ac4bf355127bfbc9e2303aed4,33,20699.08563169,4926,783,764,19,-5173.91,417.24,-5591.15,0.053,-4000.0,10,1217,0.392,-1429.63
0xa31c8c9af718d35cac18bd2164efc7460e31a8de,8,68993.61760702,1830,477,363,114,-4023.63,17450.0,-21473.63,0.974,-21215.77,16,1493,0.238,-2964.78
0x64646ff8d247b9a8fb816accc7b8c7e917cfeb64,78,7218.75893728,1600,230,205,25,-11598.05,15277.34,-26875.39,0.4,-10497.88,20,821,0.219,-5219.12
