address,rank,overall_pnl_30d,win_rate,median_holding_h,fills_per_day,max_single_loss,quality_score,fwd_pnl,fwd_sharpe,fwd_trades,fwd_closing_fills
0x69cdee059a750b584473e3370be6a4555ac837ec,84,6425.54221123,0.519,15.69,65.5,-179.83,867.0,115.94,0.0028,1708,729
0x6cd520c1a07c9b53b33d62d04d3c2a3175161968,64,8997.10940424,1.0,0.55,1.4,4.13,729.0,-1000.16,-0.0084,2000,972
0x1050cf788aa24bb06e6da6dc789dfd49424be21e,22,31301.80648681,0.389,11.16,60.4,-72.52,718.0,-5098.08,-0.0724,2000,834
0x8490a5012b338b2ecea15a5a931f02d3d4f3bb19,35,20351.69381269,0.508,5.45,66.7,-325.95,652.0,0.0,0.0,0,0
0x5db201ae15f9702f0a0ff9f00b8c1c18355373d0,119,3959.78016941,1.0,1.3,1.4,0.0,368.0,0.0,0.0,0,0
0x6abc111bd22bb38e649f81be60dfbeb35648aac6,79,7105.40562008,1.0,3.73,0.4,0.05,347.0,6422.04,0.0641,2000,850
0x91837f5e4c2a29b101fecb47fee889f9144b09b8,110,4282.35729687,0.143,16.26,1.5,-401.46,315.0,-75.75,-0.4536,10,5
0x1e532f0cb079be639b86073d78e0f4006cecfeac,27,26393.61365845,0.511,5.8,56.0,-1870.8,296.0,558.71,0.0076,2000,693
0xb0026ca48937bd18c5941c05decab68b0fcced8a,6,83631.95847,1.0,15.1,7.1,6000.0,0,98075.35,0.1763,1046,263
0x577ad1d3512b4def17c686eb2c08281d0e906d33,10,60003.188,1.0,10.2,0.5,60003.19,0,0.0,0.0,0,0
0xcb58b8f5ec6d47985f0728465c25a08ef9ad2c7b,14,39752.94800891,0.0,15.49,2.3,-1895.71,0,8466.24,0.0267,854,28
0x569870903c3ef9768427135f907cb80376d1a3e0,15,38888.64,1.0,123.58,0.1,38888.64,0,0.0,0.0,0,0
0xa1d08b307a51a8caf302791445640bde80482bbf,50,13072.34543,1.0,10.71,0.3,13072.35,0,-176606.66,-0.5282,151,9
0x78167a1f0cc35e9a7eeffda5751c4e6f3616c499,58,10929.82767,1.0,53.52,0.6,10929.83,0,15859.4,0.0388,2000,973
0x9a1124c66975bbf97ac359ab7bfb743ad73fe838,76,7369.89894,1.0,11.55,0.4,7369.9,0,0,0.0,2,0
0x3a32c838e1f5556503ea18c402ef9d48105574d5,82,6659.03411,1.0,1.92,0.4,12.7,0,-32358.25,-0.1811,472,225
0xf0d4d2df235e2ab478c5d99c7e2d416a47c47de9,88,5913.00228906,1.0,4.03,0.7,1.98,0,-5.88,-0.9563,27,8
0x145dcfb47920325d5bb44d239cb9fd0dcada8bc7,90,5751.52096,1.0,15.59,0.9,5775.29,0,-2518.71,-0.4649,25,11
0x4e5882755cce5674b7b1faccdd061857c627d09a,102,4687.25348001,1.0,9.78,0.4,624.22,0,0.0,0.0,0,0
0x250b6caa76cf8c72b8ecd546d78dc096fa8eb824,103,4581.89881021,1.0,9.76,0.7,27.22,0,-11833.4,-0.0203,2000,983
0x7db93738b0a4606e5a1e5c394c644cb528d577e7,108,4382.8684,1.0,6.31,0.9,2082.32,0,6881.78,0.1022,247,89
0x5ccd0c9faeec054625767451602ae44dad0f3620,114,4176.17911689,0.0,5.62,0.7,-520.21,0,0,0.0,4,0
0x2a21cc5d8bcaa0d10078c99606b03ee46c58817d,115,4146.80760548,0.0,1.26,0.2,-3.96,0,293.11,0.0882,218,137
0x30fabf0754da17f6c8eca338ddd3581eb911fa11,117,4006.91986,1.0,5.7,0.3,4006.92,0,23.44,0.6458,7,5
0xf957e361399ca0592d6f550f41449f0005814ef0,86,6298.78562854,0.481,2.27,66.7,-330.07,-86.0,394.13,0.0285,2000,903
0xcd353c98b502b6ad583af25e781f673af28acc23,77,7218.90773529,0.2,19.57,1.8,-398.94,-218.0,-122.45,0.0,8,1
0x15fd0c1807a791100461893f4bc3e43d5022d5ae,100,4795.40453206,0.5,10.42,66.5,-432.55,-478.0,301.4,0.0116,2000,140
0xd053e13157b4f76827fb919c3c8a02eed734b0b3,38,17986.98751591,0.158,12.53,66.7,-2798.68,-485.0,10177.08,0.1273,2000,322
0x11e1fdcfb680ed1e71ad336adac324d37202263c,31,22367.23260077,0.75,9.86,3.6,-870.6,-1048.0,7104.54,0.2612,616,323
0x7258d00a24d6829ac4bf355127bfbc9e2303aed4,33,20699.08563169,0.053,6.86,26.1,-4000.0,-2859.0,-145831.95,-0.1416,2000,1510
0xa31c8c9af718d35cac18bd2164efc7460e31a8de,8,68993.61760702,0.974,34.23,15.9,-21215.77,-5930.0,-633.02,-0.014,2000,194
0x64646ff8d247b9a8fb816accc7b8c7e917cfeb64,78,7218.75893728,0.4,9.09,7.7,-10497.88,-10438.0,495.39,0.0554,105,53
